frequency,v1_0,v1_1,v1_2,v1_3,v1_4,v1_5,v1_6,v1_7,v1_8,v1_9,v1_10,v1_11,v1_12,v1_13,v1_14,v1_15,v1_16,v1_17,v1_18,v1_19,v1_20,v1_21,v1_22,v1_23,v1_24,v1_25,v1_26,v1_27,v1_28,v1_29,v1_30,v1_31,v2_0,v2_1,v2_2,v2_3,v2_4,v2_5,v2_6,v2_7,v2_8,v2_9,v2_10,v2_11,v2_12,v2_13,v2_14,v2_15,v2_16,v2_17,v2_18,v2_19,v2_20,v2_21,v2_22,v2_23,v2_24,v2_25,v2_26,v2_27,v2_28,v2_29,v2_30,v2_31,class
202186,-102.087,-103.439,-116.153,-111.192,-110.092,-106.794,-104.487,-102.715,-100.811,-97.719,-93.3548,-91.0968,-88.5126,-85.7534,-84.4342,-81.8327,-81.2582,-82.7468,-83.6976,-85.3554,-90.3771,-93.2562,-96.6483,-98.8113,-103.043,-105.127,-108.501,-111.614,-113.594,-116.841,-121.409,-99.0169,3.82092,18.5154,4.12194,4.40524,4.74095,5.05735,6.78695,4.63544,2.93302,3.76343,6.43651,5.88705,4.46301,4.60543,2.72601,3.32377,4.11823,3.7257,4.29131,5.54764,3.50372,4.44355,4.77038,7.07191,3.80098,4.00825,5.15516,3.97643,5.38964,6.96506,4.84952,26.1035,FM
202186,-71.8082,-75.6095,-98.2734,-96.7543,-94.134,-91.0068,-87.646,-83.9245,-80.9259,-76.0612,-71.4043,-67.1511,-62.8698,-58.7929,-57.9171,-57.0074,-57.1769,-58.9632,-61.3632,-64.1146,-68.337,-72.2266,-76.0469,-80.5713,-85.0447,-89.0002,-92.1449,-94.6656,-96.0544,-97.8422,-72.0008,-71.4064,4.4006,27.493,4.80096,4.7783,5.23873,5.63345,4.48519,5.66483,5.39084,6.43639,6.33018,6.12673,5.58774,6.34552,3.87764,4.29608,4.27253,4.94397,5.23236,6.06527,5.65515,5.44221,6.33668,6.40593,6.29844,5.14957,5.35852,5.07774,4.88114,4.74039,29.8138,4.45111,FM
202186,-99.2326,-101.95,-127.245,-124.064,-121.993,-119.691,-115.201,-111.886,-108.185,-103.539,-97.0315,-94.7928,-88.5738,-85.4065,-82.2128,-80.2905,-82.221,-83.4945,-85.4333,-90.5516,-92.2741,-99.8447,-104.33,-106.424,-113.66,-116.249,-120.683,-123.922,-125.238,-126.941,-99.3156,-97.9032,3.45808,29.0721,4.64762,4.73826,4.56306,3.56387,5.95638,6.47159,5.10941,5.06895,7.13113,5.938,8.85352,5.07703,3.99082,4.86763,3.95823,3.85812,6.33051,2.91238,7.67784,6.08338,4.18916,8.06155,6.35381,6.4465,4.64241,4.80294,4.22073,3.41773,30.9192,5.1455,FM
202186,-99.4536,-100.384,-127.715,-128.38,-124.46,-123.359,-121.959,-116.911,-115.239,-110.001,-104.641,-102.282,-94.1581,-92.9862,-86.5194,-84.0006,-83.1018,-85.5243,-88.9002,-92.7664,-99.3927,-102.681,-107.066,-113.969,-118.95,-120.2,-123.721,-127.007,-126.906,-127.837,-98.5711,-97.0863,3.00964,30.9201,4.64296,2.54042,4.61363,4.40047,3.75109,8.22379,7.55467,8.18789,6.91613,3.4394,6.95557,4.62679,8.85006,6.47101,4.40691,5.93069,4.0323,8.96007,5.22151,4.65335,6.40819,5.94592,5.05911,5.59424,4.58678,4.49603,4.08499,7.98453,29.7954,5.66681,FM
202186,-106.425,-112.886,-112.95,-108.311,-106.836,-101.92,-99.6288,-99.3385,-96.8032,-95.4663,-89.2109,-89.6033,-83.5223,-83.767,-80.5264,-82.8436,-82.1623,-82.2722,-83.5135,-83.6587,-87.4783,-85.2001,-87.9951,-89.2467,-90.1833,-94.6039,-97.9634,-101.607,-103.603,-106.98,-110.046,-111.995,6.39201,6.32886,3.96896,5.52114,8.04697,6.04088,5.2649,16.2237,2.54858,3.52173,5.92071,6.44844,8.90766,6.73957,6.74159,7.88592,14.3324,2.15627,3.15137,3.12964,4.78152,3.99855,3.20847,4.1052,3.83891,2.87932,2.96028,13.7729,5.21467,5.68661,7.39906,6.50282,FM
202186,-96.2608,-99.6022,-112.569,-111.116,-110.514,-108.438,-106.81,-102.654,-100.201,-97.7546,-93.8548,-92.06,-87.9442,-86.7728,-83.9437,-83.8818,-83.8357,-85.6659,-87.2324,-88.6246,-91.4982,-93.415,-95.938,-98.4893,-100.64,-103.261,-105.575,-108.843,-110.964,-111.505,-98.1882,-97.4418,6.5807,17.2899,4.9122,5.68321,5.5343,7.00533,5.84432,9.1956,5.89332,8.65405,6.06295,6.42243,6.42324,6.44304,6.11644,5.7899,7.7712,5.37954,5.6593,5.8252,5.50418,5.28197,5.43089,5.50179,5.13773,6.26661,5.02449,6.51833,4.9604,4.98599,17.6115,4.7187,FM
202186,-96.9754,-100.401,-113.001,-111.312,-110.63,-108.392,-106.706,-102.789,-100.318,-97.8614,-93.7878,-92.0445,-87.7746,-86.6619,-83.751,-83.7023,-83.6576,-85.3313,-86.9904,-88.3636,-91.3247,-93.1911,-95.8131,-98.4186,-100.551,-103.247,-105.603,-108.759,-110.988,-111.664,-98.8527,-98.2178,6.76205,16.9813,4.89725,5.78546,5.56745,7.2094,5.84207,9.09325,5.97733,9.05677,6.03856,6.50402,6.46275,6.46809,6.18785,5.91384,7.61221,5.45087,5.6896,5.82646,5.49337,5.30136,5.43975,5.51496,5.13393,6.40879,5.02411,6.48742,4.95341,4.95998,17.3326,4.7457,FM
202186,-97.9064,-102.869,-107.907,-106.721,-105.674,-101.552,-98.2623,-97.3029,-95.4422,-94.1702,-90.6396,-89.6401,-85.9536,-85.425,-82.9429,-83.0629,-83.466,-87.5273,-93.1411,-93.9981,-96.3891,-97.1696,-99.4061,-101.202,-102.565,-104.836,-106.889,-109.041,-110.601,-111.584,-107.527,-107.762,7.90892,8.76831,5.08037,6.06608,5.44432,8.86411,5.44522,7.14883,5.9205,9.88873,5.19565,6.37724,5.86966,6.20212,6.22956,6.22725,8.70594,9.29087,5.54095,5.47925,4.94773,5.10425,4.94225,5.08366,4.96191,6.73846,4.91453,5.61125,4.97086,4.71046,9.82308,4.87496,FM
202186,-102.652,-111.737,-112.997,-112.538,-108.324,-104.079,-101.382,-98.3836,-95.0812,-92.4001,-90.1269,-87.3569,-84.9991,-84.2936,-83.679,-82.9034,-82.5855,-82.7941,-84.8417,-85.1448,-87.6573,-89.5058,-89.9444,-92.1289,-96.8098,-101.494,-103.755,-108.902,-110.508,-109.479,-98.6052,-99.1398,4.97492,5.40887,5.25864,4.44027,5.14221,5.79983,5.2944,4.62678,4.61785,4.56846,4.42281,6.20517,5.17782,4.32072,4.22873,4.34441,5.73312,4.66903,4.36347,5.13256,5.00206,4.30806,4.32232,5.50272,5.66338,4.11108,8.13831,4.4412,5.0204,3.93009,13.734,3.55932,FM
202186,-96.8243,-103.258,-105.211,-105.423,-99.2108,-95.5161,-92.5335,-91.2531,-89.616,-90.0245,-88.9077,-88.1998,-86.9983,-85.7782,-84.2962,-83.2579,-90.9928,-96.1005,-101.927,-102.69,-102.863,-103.442,-103.907,-105.029,-107.269,-108.703,-109.404,-111.179,-112.211,-112.003,-107.679,-107.526,15.0414,6.93858,4.54622,4.92022,4.89926,6.10931,6.52908,7.20833,7.70959,5.08708,5.45057,5.07539,4.75469,7.63366,6.35343,7.20082,6.0304,8.19523,5.6452,4.50438,5.629,4.62031,8.46538,9.172,6.70562,5.78682,4.95478,5.42485,4.90493,4.6538,25.3044,4.37891,FM
